Order_ID,Order_Date,Scheduled_delivery_Slot_Time,Actual_Delivery_Time,Driver_ID,Customer_Rating,Driver_Company
AMZ-20251003-0001,03/10/2025,13:00 - 16:00,03/10/2025 16:38,XYZ-10,4,XYZ
AMZ-20251003-0002,03/10/2025,07:00 - 17:00,03/10/2025 12:42,ABC-09,4,ABC
AMZ-20251003-0003,03/10/2025,07:00 - 17:00,03/10/2025 12:51,XYZ-12,4,XYZ
AMZ-20251003-0004,03/10/2025,07:00 - 17:00,03/10/2025 10:44,ABC-04,4,ABC
AMZ-20251003-0005,03/10/2025,07:00 - 17:00,03/10/2025 16:10,ABC-04,4,ABC
AMZ-20251003-0006,03/10/2025,07:00 - 17:00,03/10/2025 16:10,XYZ-11,5,XYZ
AMZ-20251003-0007,03/10/2025,09:00 - 12:00,03/10/2025 10:15,ABC-04,5,ABC
AMZ-20251003-0008,03/10/2025,07:00 - 17:00,03/10/2025 08:01,ABC-19,4,ABC
AMZ-20251003-0009,03/10/2025,07:00 - 17:00,03/10/2025 13:34,ABC-11,5,ABC
AMZ-20251003-0010,03/10/2025,13:00 - 16:00,03/10/2025 13:34,ABC-19,4,ABC
AMZ-20251003-0011,03/10/2025,09:00 - 12:00,03/10/2025 12:23,ABC-06,,ABC
AMZ-20251003-0012,03/10/2025,07:00 - 17:00,03/10/2025 18:06,XYZ-11,3,XYZ
AMZ-20251003-0013,03/10/2025,07:00 - 17:00,03/10/2025 12:25,ABC-04,4,ABC
AMZ-20251003-0014,03/10/2025,07:00 - 17:00,03/10/2025 17:07,XYZ-09,2,XYZ
AMZ-20251003-0015,03/10/2025,07:00 - 17:00,03/10/2025 17:43,XYZ-05,3,XYZ
AMZ-20251003-0016,03/10/2025,07:00 - 17:00,03/10/2025 12:31,ABC-11,5,ABC
AMZ-20251003-0017,03/10/2025,13:00 - 16:00,03/10/2025 14:40,XYZ-10,4,XYZ
AMZ-20251003-0018,03/10/2025,07:00 - 17:00,03/10/2025 12:19,XYZ-05,,XYZ
AMZ-20251003-0019,03/10/2025,07:00 - 17:00,03/10/2025 12:20,XYZ-07,4,XYZ
AMZ-20251003-0020,03/10/2025,09:00 - 12:00,03/10/2025 10:23,XYZ-12,5,XYZ
AMZ-20251003-0021,03/10/2025,07:00 - 17:00,03/10/2025 10:07,ABC-06,4,ABC
AMZ-20251003-0022,03/10/2025,13:00 - 16:00,03/10/2025 14:57,ABC-15,4,ABC
AMZ-20251003-0023,03/10/2025,09:00 - 12:00,03/10/2025 10:58,XYZ-11,5,XYZ
AMZ-20251003-0024,03/10/2025,07:00 - 17:00,03/10/2025 09:23,XYZ-03,4,XYZ
AMZ-20251003-0025,03/10/2025,07:00 - 17:00,03/10/2025 09:20,XYZ-12,5,XYZ
AMZ-20251003-0026,03/10/2025,13:00 - 16:00,03/10/2025 17:10,ABC-06,3,ABC
AMZ-20251003-0027,03/10/2025,09:00 - 12:00,03/10/2025 10:15,XYZ-14,5,XYZ
AMZ-20251003-0028,03/10/2025,13:00 - 16:00,03/10/2025 14:43,ABC-19,4,ABC
AMZ-20251003-0029,03/10/2025,07:00 - 17:00,03/10/2025 17:22,XYZ-11,4,XYZ
